,Título,Link
0,Curso Python #01 - Seja um Programador,https://www.youtube.com/watch?v=S9uPNppGsGo
1,Aprenda Python em 10 minutos! (Para iniciantes),https://www.youtube.com/watch?v=Q8eajxcS6dQ
2,🙄 VALE A PENA APRENDER PYTHON EM 2022 E FAZER UM CURSO?,https://www.youtube.com/watch?v=C7Uvr61bmoU
3,Como Sair do ZERO no Python em APENAS UMA AULA,https://www.youtube.com/watch?v=GQpQha2Mfpg
4,O que é o Python? Por que é a Melhor Linguagem de Programação para Começar?,https://www.youtube.com/watch?v=S9uPNppGsGo&list=PLvE-ZAFRgX8hnECDn1v9HNTI71veL3oW0
5,Automatize Qualquer Sistema ou Programa com Python (RPA),https://www.youtube.com/watch?v=DXmCU7v9glM
6,O Que Dá Para Fazer com Python - Descubra Agora,https://www.youtube.com/watch?v=MeOUl7ZjJRM
7,Python Classes e Métodos - Em Menos de 10 Minutos [FÁCIL],https://www.youtube.com/watch?v=tV1kT3cOCqU&list=PLFKhhNd35zq_INvuX9YzXIbtpo_LGDzYK
8,Como Criar uma Tela em Python Para Seus Códigos - [Interface Gráfica Intuitiva com Tkinter],https://www.youtube.com/watch?v=Q1iPPkAk_Ho
9,"Aplicações de Python, Instalação e Lógica de Programação - Curso de Python - Aula 1",https://www.youtube.com/watch?v=j6B8shHXzks
10,3 Técnicas Que Eu Uso Para Aprender a Programar Qualquer Coisa (mesmo sem ter o dom da programação),https://www.youtube.com/watch?v=AiBC01p58oI
11,Confissões 1° Emprego como Programador Júnior [Não Repita Isso],https://www.youtube.com/watch?v=BW9Va5syNC0
12,O caminho mais rápido para ganhar dinheiro com programação.,https://www.youtube.com/watch?v=ZtMzB5CoekE
13,como aprender programação,https://www.youtube.com/watch?v=CX6KCy9cR_Q
14,Como Criar Aplicativos e Programas com Python - Introdução ao Kivy,https://www.youtube.com/watch?v=kZcc4bA647M
15,Criando um jogo com Python #1- Tela e movimentação do objeto,https://www.youtube.com/watch?v=l_5qTI5EHgc
16,Como Criar Chatbot Inteligente com Python,https://www.youtube.com/watch?v=NkBcU8biV4s
17,Sistema de cadastro de produtos com Python e MySQL #1,https://www.youtube.com/watch?v=ddgppBdhVn8
18,Curso gratuito - Introdução à Linguagem de Programação Python,https://www.youtube.com/watch?v=eNpkQOMnF8g
19,Introdução a Lógica de Programação - O Que Precisa Saber Antes de Aprender Python,https://www.youtube.com/watch?v=SpHp0IfhorY
20,Noções de Programação Python para PCDF e PF - Prof. Rani Passos,https://www.youtube.com/watch?v=lJjR906426o&list=PLfCKf0-awunOu2WyLe2pSD2fXUo795xRe
21,Introdução ao Pandas no Python - [SAIA DO ZERO EM 1 AULA],https://www.youtube.com/watch?v=BusHZHlRS2k
22,Cursos De Programação - Como Criar um Site em Python com Flask mysql - 2022 - 03,https://www.youtube.com/watch?v=grcIjJ6bx8k
23,Curso Python #04 - Primeiros comandos em Python3,https://www.youtube.com/watch?v=WYqycZ8u1eQ
24,Curso Python #02 - Para que serve o Python?,https://www.youtube.com/watch?v=C0aj3FjN5e0
25,Criando uma Backdoor em Python - invasões a sistemas PT.1,https://www.youtube.com/watch?v=_yNk9W-10IA
26,COMO COLETAR DADOS DE DIVIDENDOS COM PYTHON - YAHOO FINANCE,https://www.youtube.com/watch?v=31llNGKWDdo
27,Gerar QRCode com Python no SQL Server,https://www.youtube.com/watch?v=Mp0vhMDI7fA
28,"Programação Orientada a Objetos em Python: Abstração, Classes e objetos (Parte 2)",https://www.youtube.com/watch?v=oLUP0PJ_6Y4
29,Curso Hacker - Sniffer na rede - Parte 5 (ANALISANDO REDE COM PYTHON),https://www.youtube.com/watch?v=t-xC9B9qjnU
30,Curso de Python Loops de Repetição Aula 18,https://www.youtube.com/watch?v=RaMY6AYJvAQ
31,"Programação Orientada a Objetos em Python: Abstração, Classes e objetos (Parte 1)",https://www.youtube.com/watch?v=7E_NNtIvX1Q
32,Aula 18 - Orientação a objetos no Python,https://www.youtube.com/watch?v=Mhwqnt5loBk
33,Jogo da Adivinhação das Datas (termoo) | Projetos em Python para Iniciantes [A6],https://www.youtube.com/watch?v=E-Kyd-wwuqc
34,Criando uma calculadora no Python (desenvolvendo de duas maneiras),https://www.youtube.com/watch?v=Mt9Z0mWL4Cg
35,Programação Orientada a Objetos em Python: Herança,https://www.youtube.com/watch?v=pAHSnrHY5AQ
36,INTEGRAÇÕES - Importando dados de uma planilha para o POWER BI com o PYTHON,https://www.youtube.com/watch?v=ridIE7ZS5KI
37,Programação Orientada a Objetos em Python: Polimorfismo,https://www.youtube.com/watch?v=zTgcLenYZ7Y
38,Desafio Python | Exercícios Python - #07,https://www.youtube.com/watch?v=tovvP6_KGJc
39,5 Áreas de Atuação Para PROGRAMADORES PYTHON,https://www.youtube.com/watch?v=0r7YlYnfELs
40,Sistema de cadastro de produtos com Python e MySQL #1,https://www.youtube.com/watch?v=1EsDTeOddDU
41,O que é Orientação a Objeto em Python? Você Deveria Aprender?,https://www.youtube.com/watch?v=IBYdwTEoPPI
42,Como Sair do Zero em Classes no Python - Self e Init Explicados,https://www.youtube.com/watch?v=P00ExGi8IH8
43,Esse é o melhor SOFTWARE para Programação PYTHON em 2022,https://www.youtube.com/watch?v=SpHp0IfhorY
44,O Melhor APLICATIVO Para Programação PYTHON em 2022,https://www.youtube.com/watch?v=tS9LETaEomI
45,O que é Python? #HipstersPontoTube,https://www.youtube.com/watch?v=gomDSZaay3E
46,Projeto PYTHON para iniciantes em Programação,https://www.youtube.com/watch?v=kXEv7uLjlWY
